施設名等,設置場所,区,所在地,緯度,経度
和楽荘,玄関横談話コーナー,緑区,三室2458,35.890089,139.677542
高等看護学院,１階玄関,緑区,三室2460,35.891031,139.678839
岩槻自転車保管所,事務室入口付近,岩槻区,岩槻5188,35.957332,139.686194
城北放課後児童クラブ,１階保育室内,岩槻区,岩槻6619,35.9620993,139.6933735
市民会館いわつき,１階受付前,岩槻区,太田3-1-1,35.9507293,139.7089724
岩槻城址公園,管理事務所,岩槻区,太田3-4,35.951527,139.711467
川通放課後児童クラブ,クラブ室内,岩槻区,大野島485-3,35.941114,139.731231
新和放課後児童クラブ,１階下駄箱脇,岩槻区,尾ヶ崎1252,35.9105858,139.7324384
柏崎放課後児童クラブ,１階保育室内,岩槻区,柏崎762,35.9337231,139.7014645
上里放課後児童クラブ,１階玄関右横,岩槻区,上里2-2,35.9649266,139.7043168
槻の木,１階事務室内,岩槻区,黒谷1135-2,35.927806,139.719758
第２やまぶき,１階玄関ロビー,岩槻区,黒谷1282-1,35.927842,139.718914
和土放課後児童クラブ,２階奥廊下,岩槻区,黒谷1353,35.9261999,139.7206831
第１やまぶき,１階廊下,岩槻区,古ヶ場2-1-11,35.9787,139.693089
槻寿苑,１階ホール,岩槻区,笹久保1393,35.918468,139.712973
槻寿苑デイサービスセンター,デイルーム内,岩槻区,笹久保1393,35.918632,139.713226
慈恩寺放課後児童クラブ,１階事務机脇,岩槻区,慈恩寺259,35.9816894,139.7077972
諏訪保育園,事務室,岩槻区,諏訪2-5-1,35.9691143,139.7090236
東岩槻放課後児童クラブ,１階奥事務机後方,岩槻区,諏訪2-6-1,35.9701507,139.7097618
徳力放課後児童クラブ,１階保育室内廊下側,岩槻区,徳力136-4,35.9741002,139.71679
太田放課後児童クラブ,１階玄関横,岩槻区,仲町1-17-3,35.9483186,139.7038133
川通公園,球場正面玄関内,岩槻区,長宮825-5,35.95226,139.728309
西原放課後児童クラブ,１階玄関,岩槻区,西原4-97,35.9520932,139.68543
西町保育園,玄関,岩槻区,西町3-1-24,35.9531017,139.6865264
ふれあいプラザいわつき,１階ロビー,岩槻区,東岩槻6-6,35.96204,139.716358
府内市民の窓口,事務所内,岩槻区,府内1-8-1,35.943826,139.710875
河合放課後児童クラブ,クラブ室内,岩槻区,平林寺371-4,35.967769,139.671926
コミュニティセンターいわつき,１階玄関ホール,岩槻区,本町1-10-7,35.947022,139.691683
岩槻本町保育園,玄関,岩槻区,本町2-5-5,35.9441537,139.6935401
岩槻駅東口コミュニティセンター,２階ロビー,岩槻区,本町3-1-1,35.950458,139.693877
子育て支援センターいわつき,事務所内,岩槻区,本町3-1-1 岩槻駅東口ｺﾐｭﾆﾃｨｾﾝﾀｰ4階,35.950357,139.693866
岩槻区役所,３階ロビー,岩槻区,本町3-2-5,35.949908,139.694396
岩槻駅東口公共駐車場,６階事務室内,岩槻区,本町3-2-5,35.949908,139.694396
岩槻放課後児童クラブ,１階保育室内,岩槻区,本町5-6-45,35.9536949,139.6985366
岩槻人形博物館,事務室,岩槻区,本町6-1-1,35.950849,139.700082
にぎわい交流館いわつき,１階受付付近,岩槻区,本町6-1-2,35.950849,139.700082
岩槻温水プール,事務室横ロビー,岩槻区,本丸3-17-2,35.954063,139.704873
城南放課後児童クラブ,１階保育室内,岩槻区,南下新井1191-1,35.9359332,139.712631
美幸保育園,事務室,岩槻区,美幸町3-18,35.9602155,139.6909925
岩槻文化公園,事務室前通路,岩槻区,村国229,35.944539,139.721724
新治ファミリーランド,温泉棟,市外,群馬県利根郡みなかみ町相俣159-1,36.720104,138.896853
ホテル南郷,１階ロビー,市外,福島県南会津郡南会津町界454,37.267356,139.541422
